sample,fastq_1,fastq_2,strandedness
ERX10466137+B-mock,fastq/ERX10466137_ERR11030203_1.fastq.gz,fastq/ERX10466137_ERR11030203_2.fastq.gz,reverse
ERX10466138+A-mock,fastq/ERX10466138_ERR11030204_1.fastq.gz,fastq/ERX10466138_ERR11030204_2.fastq.gz,reverse
ERX10475515+A-IFNa2a,fastq/ERX10475515_ERR11039705_1.fastq.gz,fastq/ERX10475515_ERR11039705_2.fastq.gz,forward
ERX10475516+A-IFNa10,fastq/ERX10475516_ERR11039706_1.fastq.gz,fastq/ERX10475516_ERR11039706_2.fastq.gz,reverse
ERX10475529+A-IFNb,fastq/ERX10475529_ERR11039719_1.fastq.gz,fastq/ERX10475529_ERR11039719_2.fastq.gz,reverse
ERX10475581+B-IFNa10,fastq/ERX10475581_ERR11039736_1.fastq.gz,fastq/ERX10475581_ERR11039736_2.fastq.gz,reverse
ERX10475594+B-IFNb,fastq/ERX10475594_ERR11039749_1.fastq.gz,fastq/ERX10475594_ERR11039749_2.fastq.gz,forward
ERX10476248+B-IFNa1,fastq/ERX10476248_ERR11040403_1.fastq.gz,fastq/ERX10476248_ERR11040403_2.fastq.gz,reverse
ERX10476334+C-IFNa10,fastq/ERX10476334_ERR11040489_1.fastq.gz,fastq/ERX10476334_ERR11040489_2.fastq.gz,forward
ERX10476340+B-IFNo,fastq/ERX10476340_ERR11040495_1.fastq.gz,fastq/ERX10476340_ERR11040495_2.fastq.gz,forward
ERX10476454+C-mock,fastq/ERX10476454_ERR11040609_1.fastq.gz,fastq/ERX10476454_ERR11040609_2.fastq.gz,reverse
ERX10476465+C-IFNb,fastq/ERX10476465_ERR11040620_1.fastq.gz,fastq/ERX10476465_ERR11040620_2.fastq.gz,reverse
ERX10476466+C-IFNa2a,fastq/ERX10476466_ERR11040621_1.fastq.gz,fastq/ERX10476466_ERR11040621_2.fastq.gz,forward
ERX10476470+C-IFNa1,fastq/ERX10476470_ERR11040625_1.fastq.gz,fastq/ERX10476470_ERR11040625_2.fastq.gz,forward
ERX10476471+C-IFNo,fastq/ERX10476471_ERR11040626_1.fastq.gz,fastq/ERX10476471_ERR11040626_2.fastq.gz,reverse
ERX10479637+B-IFNa2a,fastq/ERX10479637_ERR11040627_1.fastq.gz,fastq/ERX10479637_ERR11040627_2.fastq.gz,reverse
ERX10487730+A-IFNa1,fastq/ERX10487730_ERR11040628_1.fastq.gz,fastq/ERX10487730_ERR11040628_2.fastq.gz,reverse
ERX10487731+A-IFNo,fastq/ERX10487731_ERR11040629_1.fastq.gz,fastq/ERX10487731_ERR11040629_2.fastq.gz,reverse